GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.util,PropertySourcesUtils.new AbstractEnvironment() {...},3,0,0,0,1,0,1,0,1,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.util,PropertySourcesUtils,122,0,18,0,23,0,13,0,4,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.util,BeanFactoryUtils,119,0,10,0,24,0,9,0,4,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.util,ObjectUtils,5,0,0,0,2,0,2,0,2,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.util,AnnotatedBeanDefinitionRegistryUtils,42,0,4,0,10,0,5,0,3,0
dubbo-demo-xml-provider/dubbo-config-spring,org.apache.dubbo.config.spring.util,AnnotationUtils,350,0,56,0,77,0,37,0,8,0
dubbo-demo-xml-provider/dubbo-registry-zookeeper,org.apache.dubbo.registry.zookeeper,ZookeeperRegistryFactory,14,0,0,0,4,0,3,0,3,0
dubbo-demo-xml-provider/dubbo-registry-zookeeper,org.apache.dubbo.registry.zookeeper,ZookeeperRegistry,793,0,64,0,141,0,52,0,20,0
dubbo-demo-xml-provider/dubbo-registry-multicast,org.apache.dubbo.registry.multicast,MulticastRegistry.new Runnable() {...},69,0,6,0,16,0,5,0,2,0
dubbo-demo-xml-provider/dubbo-registry-multicast,org.apache.dubbo.registry.multicast,MulticastRegistry.new Runnable() {...},24,0,0,0,6,0,2,0,2,0
dubbo-demo-xml-provider/dubbo-registry-multicast,org.apache.dubbo.registry.multicast,MulticastRegistry,959,0,112,0,201,0,81,0,25,0
dubbo-demo-xml-provider/dubbo-registry-multicast,org.apache.dubbo.registry.multicast,MulticastRegistryFactory,8,0,0,0,2,0,2,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,ReferenceCountExchangeClient,180,0,8,0,54,0,28,0,24,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,DubboCodec,397,0,44,0,98,0,30,0,8,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,CallbackServiceCodec,742,0,58,0,136,0,46,0,15,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,ChannelWrappedInvoker.ChannelWrapper,92,0,8,0,24,0,20,0,16,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,FutureAdapter,56,0,0,0,20,0,8,0,8,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,ChannelWrappedInvoker,128,0,4,0,24,0,5,0,3,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,DubboProtocol,1043,0,114,0,212,0,80,0,23,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,DecodeableRpcInvocation,229,0,24,0,56,0,17,0,5,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,DubboExporter,19,0,0,0,7,0,2,0,2,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,DecodeableRpcResult,234,0,23,0,68,0,23,0,9,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,FutureAdapter.new ResponseCallback() {...},52,0,0,0,15,0,3,0,3,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,LazyConnectExchangeClient,287,0,30,0,85,0,41,0,26,0
dubbo-demo-xml-provider/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo,DubboProtocol.new ExchangeHandlerAdapter() {...},310,0,30,0,55,0,23,0,8,0
